date,airline,delay,cancelled
2004-7-01,Northwest Airlines,777578.0,561.0
2004-7-01,SkyWest Airlines,444788.0,582.0
2004-7-01,Southwest Airlines,1597423.0,454.0
2004-7-01,US Airways,713929.0,631.0
2004-7-01,United Air Lines,1081756.0,605.0
2004-8-01,ATA Airlines d/b/a ATA,104493.0,60.0
2004-8-01,AirTran Airways,246557.0,201.0
2004-8-01,Alaska Airlines,317163.0,210.0
2004-8-01,America West Airlines,294167.0,198.0
2004-8-01,American Airlines,1675852.0,1233.0
2004-8-01,American Eagle Airlines,920413.0,1465.0
2004-8-01,Atlantic Coast Airlines,526550.0,775.0
2004-8-01,Atlantic Southeast Airlines,300830.0,443.0
2004-8-01,Comair,407877.0,752.0
2004-8-01,Continental Air Lines,354410.0,159.0
2004-8-01,Delta Air Lines,955826.0,785.0
2004-8-01,ExpressJet Airlines,526682.0,460.0
2004-8-01,Hawaiian Airlines,16982.0,19.0
2004-8-01,JetBlue Airways,170053.0,50.0
2004-8-01,Northwest Airlines,551714.0,490.0
2004-8-01,SkyWest Airlines,381844.0,517.0
2004-8-01,Southwest Airlines,1491204.0,806.0
2004-8-01,US Airways,757777.0,874.0
2004-8-01,United Air Lines,867070.0,666.0
2004-9-01,ATA Airlines d/b/a ATA,33348.0,137.0
2004-9-01,AirTran Airways,260368.0,808.0
2004-9-01,Alaska Airlines,222203.0,235.0
2004-9-01,America West Airlines,189956.0,336.0
2004-9-01,American Airlines,463344.0,1985.0
2004-9-01,American Eagle Airlines,434529.0,1077.0
2004-9-01,Atlantic Coast Airlines,319177.0,595.0
2004-9-01,Atlantic Southeast Airlines,275535.0,1340.0
2004-9-01,Comair,295429.0,1045.0
2004-9-01,Continental Air Lines,207113.0,551.0
2004-9-01,Delta Air Lines,747554.0,3112.0
2004-9-01,ExpressJet Airlines,274451.0,466.0
2004-9-01,Hawaiian Airlines,9965.0,11.0
2004-9-01,JetBlue Airways,53893.0,415.0
2004-9-01,Northwest Airlines,334735.0,642.0
2004-9-01,SkyWest Airlines,289612.0,701.0
2004-9-01,Southwest Airlines,716286.0,2246.0
2004-9-01,US Airways,386394.0,1489.0
2004-9-01,United Air Lines,382567.0,778.0
2005-1-01,ATA Airlines d/b/a ATA,92371.0,118.0
2005-1-01,AirTran Airways,410111.0,626.0
2005-1-01,Alaska Airlines,311309.0,398.0
2005-1-01,America West Airlines,311950.0,452.0
2005-1-01,American Airlines,1315934.0,2228.0
2005-1-01,American Eagle Airlines,1014302.0,3152.0
