month,airline,delay
2004-04,Frontier Airlines,
2004-04,Frontier Aviation,
2004-04,Hawaiian Airlines,
2004-04,Horizon Air,
2004-04,Japan Airlines,
2004-04,Jet Blue,
2004-04,KLM Royal Dutch Airlines,
2004-04,Korean Airlines,
2004-04,Lufthansa,
2004-04,Malaysian Airline System,
2004-04,Midwest Express Airlines,
2004-04,Northwest Airlines,
2004-04,Northwest International Airways,
2004-04,Pace Airlines,
2004-04,Qantus Airways,
2004-04,Reno Air,
2004-04,Southwest Airlines,
2004-04,Spirit Airlines,
2004-04,Sun Country Airlines,
2004-04,Sunworld International Airlines,
2004-04,Swiss Air,
2004-04,Tran Meridian Airlines,
2004-04,Turkish Airlines,
2004-04,UAL,
2004-04,USA 3000 (U5,
2004-04,USAir,
2004-04,Virgin Atlantic,
2004-04,Virgin Express,
2004-04,Western Pacific Airlines Inc Westpac,
2004-05,ATA Aerocondor,
2004-05,Aer Lingus,
2004-05,Aero Mexico,
2004-05,Air Canada,
2004-05,Air France,
2004-05,Air Jamaica,
2004-05,Air New Zealand,
2004-05,Air Tran Airlines(do not use,
2004-05,AirTran Airlines,
2004-05,Alaska Airlines,
2004-05,Alitalia,
2004-05,Aloha Airlines,
2004-05,America Trans Air,
2004-05,America West,
2004-05,American Airlines,
2004-05,American Eagle,
2004-05,American West,
2004-05,British Airways,
2004-05,British Midland Airways,
2004-05,Cayman Airlines,
2004-05,Comair,
2004-05,Continental Airlines,
2004-05,Continental Express,
2004-05,Delta (Song,
2004-05,Delta Air Lines,
2004-05,Frontier Airlines,
2004-05,Frontier Aviation,
2004-05,Hawaiian Airlines,
2004-05,Horizon Air,
2004-05,Jet Blue,
2004-05,KLM Royal Dutch Airlines,
2004-05,LOT Polish Airlines,
2004-05,Lufthansa,
2004-05,Malaysian Airline System,
2004-05,Mexicana,
2004-05,Midway Airlines,
2004-05,Midwest Express Airlines,
2004-05,Mountain West,
2004-05,Northwest Airlines,
2004-05,Northwest International Airways,
2004-05,OMNI Air Express- (OY,
2004-05,Pace Airlines,
2004-05,Pan American Airways,
2004-05,Qantus Airways,
2004-05,Singapore Airlines,
2004-05,Skywest Airlines Australia,
2004-05,Southeast Airlines,
2004-05,Southwest Airlines,
2004-05,Spirit Airlines,
2004-05,Sun Country Airlines,
2004-05,Swiss Air,
2004-05,Tran Meridian Airlines,
2004-05,UAL,
2004-05,US Express,
2004-05,USA 3000 (U5,
2004-05,USAir,
2004-05,Virgin Atlantic,
2004-05,Wiggins Airways,
2004-06,Aeroflot Russian International,
2004-06,Air Canada,
2004-06,Air France,
2004-06,Air Jamaica,
2004-06,Air New Zealand,
2004-06,Air Tran Airlines(do not use,
2004-06,AirTran Airlines,
2004-06,Alaska Airlines,
2004-06,Alitalia,
2004-06,Aloha Airlines,
2004-06,America Trans Air,
2004-06,America West,
2004-06,American Airlines,
2004-06,American Eagle,
2004-06,Austrian Airlines,
2004-06,Avianca,
2004-06,British Airways,
2004-06,Canadian Airlines,
2004-06,Cape Air,
2004-06,China Airlines,
2004-06,Comair,
2004-06,Continental Airlines,
2004-06,Czech Airlines,
2004-06,Delta Air Lines,
2004-06,EL AL Israeli Airlines,
2004-06,Egypt Air,
2004-06,Frontier Airlines,
2004-06,Hawaiian Airlines,
2004-06,Horizon Air,
2004-06,Japan Airlines,
2004-06,Jet Blue,
2004-06,KLM Royal Dutch Airlines,
2004-06,Korean Airlines,
2004-06,Kuwait Airlines,
2004-06,Lufthansa,
2004-06,Midway Airlines,
